1	48000000	52000000	seq1   
2	86000000	100500000	seq2   
2	134500000	138000000	seq3   
2	183000000	190000000	seq4   
3	47500000	50000000	seq5   
3	83500000	87000000	seq6   
3	89000000	97500000	seq7   
5	44000000	51500000	seq8   
5	98000000	100500000	seq9   
5	129000000	132000000	seq10  
5	135500000	138500000	seq11  
6	25000000	33500000	seq12  
6	57000000	64000000	seq13  
6	140000000	142500000	seq14  
7	55000000	66000000	seq15  
8	8000000	12000000	seq16  
8	43000000	50000000	seq17  
10	37000000	43000000	seq18  
11	45000000	57000000	seq19  
11	87500000	90500000	seq20  
12	33000000	40000000	seq21  
12	109500000	112000000	seq22  
20	32000000	34500000	seq23  
